Bay;1146
Centre Radio�lectrique du Doublier;1200
Cime de la Bonette;2802
Cipi�res;744
Col Agnel;2744
Col d'Allos;2250
Col d'Eze;507
Col d'Izoard;2360
Col de Bleine;1439
Col de Braus;1002
Col de Brouis;879
Col de Cala�sson;471
Col de Castellaras;1248
Col de Castillon;706
Col de F�lines;929
Col de Jambaz;1027
Col de Joux Plane;1691
Col de l'Echelle;1762
Col de l'ecre;1118
Col de l'Iseran;2764
Col de la Cayolle;2326
Col de la Colombi�re;1613
Col de la Croix Fry;1477
Col de la Croix-de-Fer;2064
Col de la Lombarde;2350
Col de la Madeleine;1993
Col de la Madone de Gorbio;925
Col de la Porte;1057
Col de la Ramaz;1619
Col de la Sine;1108
Col de Larche;1991
Col de Montgen�vre;1850
Col de Nice;414
Col de Porte;1326
Col de Sarenne;1999
Col de Turini;1604
Col de Vars;2108
Col de Vence;963
Col des Aravis;1486
Col des Champs;2093
Col des Saisies;1657
Col du Buis;1196
Col du Galibier;2642
Col du Glandon;1924
Col du Lautaret;2057
Col du Mont Cenis;2081
Col du Noyer;1664
Col du Petit-Saint-Bernard;2188
Col du Pilon;780
Col du T�l�graphe;1566
Col du Tr�buchet;1143
Col Saint-Roch;990
Cormet de Roselend;1968
Mont Gros;1200
Mont Vial;1549
Pas de la Faye;981
Station de l'Alpe d'Huez;1840
Tunnel de Tende;1279
Col du Granon;2404
Station de Risoul 1850;1850
Col de la Couillole;1678
Col de Valberg;1671
Col de Poutran;1996
Col du Mollard;1630
Station des Deux Alpes;1652
Authion;1889
Col de Chateauneuf de Contes;628
Col de Chaussy;1533
Col Saint-Martin;1503
Super D�voluy;1474
Col du Ranfolly;1658
