La Clusaz;1100
Bourg Saint Maurice;815
Flumet;910
Beaufort;741
Val-Cenis;1300
Aussois;1500
Saint Michel de Maurienne;710
Valloire;1401
Brian�on;1204
Val des Pr�s;1395
Les Gleizolles;1310
Guillestre;1010
Jausiers;1213
Barcelonnette;1136
Saint Martin d'Entraunes;1035
Gorges du Guil;1266
Beuil;1442
Saint Paul sur Ubaye;1400
Vars;1650
Guillaumes;793
Menton;57
Sospel;348
Colmars;1240
Bourg d'Oisans;728
Barrage du Verney;772
Saint Jean de Maurienne;589
Saint Etienne de Cuines;485
Villargondran;582
Pont de Belleville;1227
Allemont;579
Le Chambon;1045
Grenoble;210
Vence;320
Pont du Loup;201
Les Moulins;574
Les Quatre Chemins;1164
Ch�teauneuf de Grasse;413
Entrevaux;484
Pont de St Pierre;900
Casteldelfino;1280
La Vachette;1356
Breil sur Roya;290
L'Escarene;357
Luceram;645
Contes;183
Tourette Levens;377
La Chambre;495
Grasse;349
Station Isola 2000;2010
Isola;873
Lanslebourg;1399
Susa;500
Lantosque;447
Le Clapier;744
Le Grand Bornand;923
Scionzier;505
Saint Disdier;1048
Le Rouccias;120
Vescous;354
Taninges;640
Mieussy;650
Morzine;980
Villefranche sur Mer;63
Nice;10
Saint-Etienne de Tinee;1150
Th�nes;622
Vinadio;904
