Bay;1146
Centre Radioelectrique du Doublier;1200
Cime de la Bonette;2802
Cipieres;744
Col Agnel;2744
Col d'Allos;2250
Col d'Eze;507
Col d'Izoard;2360
Col de Bleine;1439
Col de Braus;1002
Col de Brouis;879
Col de Calaisson;471
Col de Castellaras;1248
Col de Castillon;706
Col de Felines;929
Col de Jambaz;1027
Col de Joux Plane;1691
Col de l'Echelle;1762
Col de l'ecre;1118
Col de l'Iseran;2764
Col de la Cayolle;2326
Col de la Colombiere;1613
Col de la Croix Fry;1477
Col de la Croix-de-Fer;2064
Col de la Lombarde;2350
Col de la Madeleine;1993
Col de la Madone de Gorbio;925
Col de la Porte;1057
Col de la Ramaz;1619
Col de la Sine;1108
Col de Larche;1991
Col de Montgenevre;1850
Col de Nice;414
Col de Porte;1326
Col de Sarenne;1999
Col de Turini;1604
Col de Vars;2108
Col de Vence;963
Col des Aravis;1486
Col des Champs;2093
Col des Saisies;1657
Col du Buis;1196
Col du Galibier;2642
Col du Glandon;1924
Col du Lautaret;2057
Col du Mont Cenis;2081
Col du Noyer;1664
Col du Petit-Saint-Bernard;2188
Col du Pilon;780
Col du Telegraphe;1566
Col du Trebuchet;1143
Col Saint-Roch;990
Cormet de Roselend;1968
Mont Gros;1200
Mont Vial;1549
Pas de la Faye;981
Station de l'Alpe d'Huez;1840
Tunnel de Tende;1279
Col du Granon;2404
Station de Risoul 1850;1850
Col de la Couillole;1678
Col de Valberg;1671
Col de Poutran;1996
Col du Mollard;1630
Station des Deux Alpes;1652
Authion;1889
Col de Chateauneuf de Contes;628
Col de Chaussy;1533
Col Saint-Martin;1503
Super Devoluy;1474
Col du Ranfolly;1658
Col de l'Ange Gardien;1347
Col de la Platrière;2220
Col de Chatillon;741
Col des Gets;1163
La Clusaz;1100
Bourg Saint Maurice;815
Flumet;910
Beaufort;741
Val-Cenis;1300
Aussois;1500
Saint Michel de Maurienne;710
Valloire;1401
Briancon;1204
Val des Pres;1395
Les Gleizolles;1310
Guillestre;1010
Jausiers;1213
Barcelonnette;1136
Saint Martin d'Entraunes;1035
Gorges du Guil;1266
Beuil;1442
Saint Paul sur Ubaye;1400
Vars;1650
Guillaumes;793
Menton;57
Sospel;348
Colmars;1240
Bourg d'Oisans;728
Barrage du Verney;772
Saint Jean de Maurienne;589
Saint Etienne de Cuines;485
Villargondran;582
Pont de Belleville;1227
Allemont;579
Le Chambon;1045
Grenoble;210
Vence;320
Pont du Loup;201
Les Moulins;574
Les Quatre Chemins;1164
Chateauneuf de Grasse;413
Entrevaux;484
Pont de St Pierre;900
Casteldelfino;1280
La Vachette;1356
Breil sur Roya;290
L'Escarene;357
Luceram;645
Contes;183
Tourette Levens;377
La Chambre;495
Grasse;349
Station Isola 2000;2010
Isola;873
Lanslebourg;1399
Susa;500
Lantosque;447
Le Clapier;744
Le Grand Bornand;923
Scionzier;505
Saint Disdier;1048
Le Rouccias;120
Vescous;354
Taninges;640
Mieussy;650
Morzine;980
Villefranche sur Mer;63
Nice;10
Saint-Etienne de Tinee;1150
Thones;622
Vinadio;904
Thonon-les-Bains;400
Entraunes;1240
